gene	n_patients_altered	freq_pct	n_gain	n_loss	patients	in_ptcl_list	in_cbioportal_cna	in_cbioportal_mut	evidence_tier
SETD2	8	40	4	4	B1_S01, B2_S03, B2_S04, B2_S05, B2_S15, B3_S04, B3_S05, B3_S09	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
SETD5	8	40	5	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S15, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
STAG1	8	40	4	4	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S16, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
TERT	8	40	7	1	B1_S02, B1_S05, B2_S02, B2_S03, B2_S06, B2_S08, B2_S15, B3_S06	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
TET3	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
TGFBR2	8	40	5	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B2_S15, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
UBR5	8	40	7	1	B1_S01, B2_S01, B2_S04, B2_S07, B2_S12, B2_S15, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
XPO1	8	40	6	2	B1_S05, B2_S04, B2_S08, B2_S12, B2_S15, B3_S01, B3_S08, B3_S09	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
ARID1B	7	35	1	6	B1_S05, B2_S03, B2_S04, B2_S05, B2_S12, B2_S16, B3_S01	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
ARID2	7	35	3	4	B2_S03, B2_S07, B2_S08, B2_S12, B2_S15, B3_S05, B3_S08	TRUE	FALSE	TRUE	Tier 1 (PTCL gene list)
ATR	7	35	4	3	B1_S01, B2_S03, B2_S04, B2_S05, B2_S12, B3_S05, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
BACH2	7	35	1	6	B1_S05, B2_S04, B2_S05, B2_S08, B2_S12, B2_S16, B3_S08	TRUE	TRUE	FALSE	Tier 1 (PTCL gene list)
BCL6	7	35	5	2	B1_S01, B2_S03, B2_S05, B2_S07, B2_S12, B3_S05, B3_S09	TRUE	TRUE	FALSE	Tier 1 (PTCL gene list)
